customerID;gender;tenure;MultipleLines;MonthlyCharges;StreamingTV;DeviceProtection;Contract;Churn
7590-VHVEG;Female;1;No phone service;29.85;No;No;Month-to-month;No
5575-GNVDE;Male;34;No;56.95;No;Yes;One year;No
3668-QPYBK;Male;2;No;53.85;No;No;Month-to-month;Yes
7795-CFOCW;Male;45;No phone service;;No;Yes;One year;No
9237-HQITU;Female;2;No;70.7;No;No;Month-to-month;Yes
9305-CDSKC;Female;8;Yes;99.65;Yes;Yes;Month-to-month;Yes
9225-CDGGG;Male;1;Yes;52.65;No;Yes;Month-to-month;Yes
9625-CDAAG;Female;2;Yes;32.75;Yes;Yes;Month-to-month;Yes
9225-PPGGG;Male;1;Yes;31.65;No;Yes;Month-to-month;Yes
9275-CDGVV;Female;2;Yes;34.65;Yes;Yes;Month-to-month;Yes
9825-UUGGG;Female;1;Yes;32.85;Yes;Yes;Month-to-month;Yes
6225-CDGGT;Male;1;Yes;42.65;Yes;Yes;Month-to-month;Yes
9385-AEUGG;Male;55;Yes;65.65;Yes;Yes;Two year;No
1452-KIOVK;Male;22;Yes;89.1;Yes;No;Month-to-month;No
6713-OKOMC;Female;10;No phone service;29.75;No;No;Month-to-month;No
7892-POOKP;Female;28;Yes;104.8;Yes;Yes;Month-to-month;Yes
6388-TABGU;Male;62;No;56.15;No;No;One year;No
9763-GRSKD;Male;13;No;49.95;No;No;Month-to-month;No
7469-LKBCI;Male;16;No;18.95;No internet service;No internet service;Two year;No
8091-TTVAX;Male;58;Yes;100.35;Yes;Yes;One year;No
0280-XJGEX;Male;49;Yes;103.7;Yes;Yes;Month-to-month;Yes
5129-JLPIS;Male;25;No;105.5;Yes;Yes;Month-to-month;No
3655-SNQYZ;Female;69;Yes;113.25;Yes;Yes;Two year;No
8191-XWSZG;Female;52;No;20.65;No internet service;No internet service;One year;No
9959-WOFKT;Male;71;Yes;106.7;Yes;Yes;Two year;No
4190-MFLUW;Female;10;No;;No;Yes;Month-to-month;Yes
4183-MYFRB;Female;21;No;90.05;No;Yes;Month-to-month;No
8779-QRDMV;Male;1;No phone service;39.65;No;Yes;Month-to-month;Yes
1680-VDCWW;Male;12;No;19.8;No internet service;No internet service;One year;No
1066-JKSGK;Male;1;No;20.15;No internet service;No internet service;Month-to-month;Yes
3638-WEABW;Female;58;Yes;59.9;No;No;Two year;No
6322-HRPFA;Male;49;No;59.6;No;No;Month-to-month;No
6865-JZNKO;Female;30;No;55.3;No;No;Month-to-month;No
6865-JZNKO;Female;30;Yes;55.3;No;No;Month-to-month;No
6467-CHFZW;Male;47;Yes;99.35;Yes;No;Month-to-month;Yes
8665-UTDHZ;Male;1;No phone service;30.2;No;No;Month-to-month;Yes
5248-YGIJN;Male;72;Yes;90.25;Yes;Yes;Two year;No
8773-HHUOZ;Female;17;No;64.7;Yes;No;Month-to-month;Yes
3841-NFECX;Female;71;Yes;96.35;No;Yes;Two year;No
4929-XIHVW;Male;2;No;95.5;Yes;Yes;Month-to-month;Yes
6827-IEAUQ;Female;27;No;66.15;No;Yes;One year;No
7310-EGVHZ;Male;1;No;20.2;No internet service;No internet service;Month-to-month;No
3413-BMNZE;Male;1;No;45.25;No;No;Month-to-month;No
6234-RAAPL;Female;72;Yes;99.9;Yes;No;Two year;No
6047-YHPVI;Male;5;No;69.7;No;No;Month-to-month;Yes
6572-ADKRS;Female;46;No;74.8;No;Yes;Month-to-month;No
5380-WJKOV;Male;34;Yes;106.35;Yes;Yes;Month-to-month;Yes
8168-UQWWF;Female;11;Yes;97.85;Yes;Yes;Month-to-month;Yes
8865-TNMNX;Male;10;Yes;49.55;No;No;One year;No
9489-DEDVP;Female;70;Yes;69.2;Yes;No;Two year;No
9867-JCZSP;Female;17;No;20.75;No internet service;No internet service;One year;No
4671-VJLCL;Female;63;Yes;79.85;Yes;Yes;Two year;No
4080-IIARD;Female;13;Yes;76.2;Yes;No;Month-to-month;No
3714-NTNFO;Female;49;Yes;84.5;No;No;Month-to-month;No
5948-UJZLF;Male;2;Yes;49.25;No;No;Month-to-month;No
7760-OYPDY;Female;2;No;80.65;Yes;No;Month-to-month;Yes
7639-LIAYI;Male;52;Yes;79.75;Yes;No;Two year;No
2954-PIBKO;Female;69;Yes;64.15;No;Yes;Two year;No
8012-SOUDQ;Female;43;Yes;90.25;Yes;No;Month-to-month;No
9420-LOJKX;Female;15;No;99.1;Yes;No;Month-to-month;Yes
6575-SUVOI;Female;25;Yes;69.5;Yes;No;Month-to-month;No
7495-OOKFY;Female;8;Yes;80.65;No;No;Month-to-month;Yes
4667-QONEA;Female;60;No;74.85;No;Yes;One year;No
1658-BYGOY;Male;18;Yes;95.45;Yes;No;Month-to-month;Yes
8769-KKTPH;Female;63;Yes;99.65;Yes;No;One year;No
5067-XJQFU;Male;66;Yes;108.45;Yes;Yes;One year;No
3957-SQXML;Female;34;Yes;24.95;No internet service;No internet service;Two year;No
5954-BDFSG;Female;72;Yes;107.5;Yes;Yes;Two year;No
0434-CSFON;Female;47;Yes;100.5;Yes;Yes;Month-to-month;No
1215-FIGMP;Male;60;Yes;89.9;Yes;No;Month-to-month;No
0526-SXDJP;Male;72;No phone service;42.1;No;Yes;Two year;No
0557-ASKVU;Female;18;No;54.4;No;Yes;One year;No
5698-BQJOH;Female;9;Yes;94.4;Yes;No;Month-to-month;Yes
5122-CYFXA;Female;3;No;75.3;Yes;No;Month-to-month;Yes
8627-ZYGSZ;Male;47;Yes;78.9;No;No;One year;No
3410-YOQBQ;Female;31;No;79.2;Yes;Yes;Two year;No
3170-NMYVV;Female;50;No;20.15;No internet service;No internet service;Two year;No
7410-OIEDU;Male;4;Yes;79.85;No;Yes;Month-to-month;Yes
2273-QCKXA;Male;1;No;49.05;No;No;Month-to-month;No
0731-EBJQB;Female;52;No;20.4;No internet service;No internet service;One year;No
1891-QRQSA;Male;64;Yes;111.6;Yes;Yes;Two year;No
8028-PNXHQ;Male;62;Yes;24.25;No internet service;No internet service;Two year;No
5630-AHZIL;Female;3;No;64.5;No;No;Month-to-month;Yes
2673-CXQEU;Female;56;Yes;110.5;Yes;Yes;One year;No
6416-JNVRK;Female;46;No;55.65;No;No;One year;No
5590-ZSKRV;Female;8;No;54.65;No;No;Month-to-month;No
0191-ZHSKZ;Male;30;No;74.75;Yes;No;Month-to-month;No
3887-PBQAO;Female;45;Yes;25.9;No internet service;No internet service;One year;No
5919-TMRGD;Female;1;No;79.35;Yes;No;Month-to-month;Yes
8108-UXRQN;Female;11;No phone service;50.55;Yes;No;Month-to-month;No
9191-MYQKX;Female;7;No;75.15;No;Yes;Month-to-month;Yes
9919-YLNNG;Female;42;No;103.8;Yes;Yes;Month-to-month;No
0318-ZOPWS;Female;49;No;20.15;No internet service;No internet service;Two year;No
4445-ZJNMU;Male;7;Yes;99.3;Yes;No;Month-to-month;Yes
4808-YNLEU;Female;35;Yes;62.15;Yes;No;One year;No
1862-QRWPE;Female;48;No;20.65;No internet service;No internet service;Two year;No
2796-NNUFI;Female;46;No;19.95;No internet service;No internet service;Two year;No
3016-KSVCP;Male;29;No phone service;33.75;Yes;No;Month-to-month;No
4767-HZZHQ;Male;30;Yes;82.05;No;Yes;Month-to-month;No
2424-WVHPL;Male;1;No;74.7;No;No;Month-to-month;Yes
7233-PAHHL;Male;66;Yes;84;Yes;Yes;Two year;No
6067-NGCEU;Female;65;Yes;111.05;Yes;Yes;Month-to-month;No
9848-JQJTX;Male;72;Yes;100.9;Yes;Yes;Two year;No
8637-XJIVR;Female;12;Yes;78.95;No;No;Month-to-month;Yes
9803-FTJCG;Male;71;Yes;66.85;No;No;One year;No
0278-YXOOG;Male;5;No;21.05;No internet service;No internet service;Month-to-month;Yes
3212-KXOCR;Male;52;No;21;No internet service;No internet service;Two year;No
4598-XLKNJ;Female;25;No;98.5;Yes;Yes;Month-to-month;Yes
6380-ARCEH;Male;1;No;20.2;No internet service;No internet service;Month-to-month;No
3679-XASPY;Female;1;No;19.45;No internet service;No internet service;Month-to-month;No
7123-WQUHX;Male;38;Yes;95;Yes;Yes;One year;No
5386-THSLQ;Female;66;No phone service;45.55;Yes;Yes;One year;No
3192-NQECA;Male;68;No;110;Yes;Yes;Two year;Yes
6180-YBIQI;Male;5;No phone service;24.3;No;No;Month-to-month;No
6728-DKUCO;Female;72;Yes;104.15;Yes;No;One year;No
9750-BOOHV;Female;32;No phone service;30.15;No;No;One year;No
8597-CWYHH;Male;43;Yes;94.35;Yes;No;One year;No
2848-YXSMW;Male;72;Yes;19.4;No internet service;No internet service;Two year;No
0486-HECZI;Male;55;No;96.75;Yes;No;Month-to-month;Yes
4549-ZDQYY;Female;52;No;57.95;No;Yes;One year;No
5712-AHQNN;Female;43;No;91.65;Yes;Yes;Month-to-month;No
4846-WHAFZ;Female;37;Yes;76.5;No;No;Month-to-month;Yes
4855-WJJFZ;Female;3;Yes;76.5;No;No;Month-to-month;Yes
5256-SKJGO;Female;64;No phone service;54.6;Yes;No;Two year;No
5256-SKJGO;Female;60;No phone service;51.6;Yes;No;Two year;No
9988-VTXPA;Male;60;No;81.85;Yes;No;Two year;No
9331-VUXPJ;Male;70;No;51.85;Yes;No;Two year;No
7971-VXXPO;Female;70;No;71.85;Yes;No;One year;No
3888-VCCCV;Female;49;No;49.85;Yes;No;Two year;No
3661-VNNPO;Male;39;No;89.55;Yes;No;Two year;No
3099-VBEEO;Female;61;No;44.85;Yes;No;Two year;No
3889-VBMKO;Male;46;No;66.85;Yes;No;Two year;No
3991-VCXPO;Female;55;No;69.85;Yes;No;Two year;No
9077-VBBHO;Male;65;No;89.82;Yes;No;Two year;No
3441-VBYPO;Female;39;No;79.85;Yes;No;One year;No
3044-VGGPO;Male;36;No;44.85;Yes;No;Two year;No
3561-VBYPI;Female;54;No;39.85;Yes;No;Two year;No
4441-VBBBO;Male;36;No;89.55;Yes;No;Two year;No
7771-VBVVO;Female;43;No;82.85;Yes;No;Two year;No
3447-AAYPO;Male;53;No;89.65;Yes;No;Two year;No
3787-VTRGO;Male;63;No;99.85;Yes;No;Two year;No
3555-VBYPO;Male;39;No;59.85;Yes;No;One year;No
9560-BBZXK;Female;36;No phone service;31.05;No;No;Two year;No
5299-RULOA;Female;10;Yes;100.25;Yes;No;Month-to-month;Yes
8402-OOOHJ;Female;41;Yes;20.65;No internet service;No internet service;Two year;No
9445-ZUEQE;Male;27;Yes;85.2;No;No;Month-to-month;No
1091-SOZGA;Female;56;Yes;99.8;Yes;Yes;One year;No
